Date,Domain,Location,Value,Transaction_count,domain_index,location_index,features,scaled_features
01/01/2022,EDUCATION,Amritsar,799260,2430,3.0,19.0,"[799260.0,2430.0]","[0.554116400102672,0.9450651769087524]"
01/01/2022,MEDICAL,Tirumala,893467,1704,4.0,22.0,"[893467.0,1704.0]","[0.6583452084863827,0.6070763500931099]"
01/01/2022,RESTRAUNT,Kanpur,363673,884,5.0,28.0,"[363673.0,884.0]","[0.07219134190704632,0.22532588454376165]"
01/01/2022,INVESTMENTS,Trichy,1074381,2467,2.0,36.0,"[1074381.0,2467.0]","[0.8585049698621892,0.9622905027932961]"
01/01/2022,INVESTMENTS,Bokaro,988853,1536,2.0,0.0,"[988853.0,1536.0]","[0.763878439737655,0.5288640595903166]"
01/01/2022,RETAIL,Doda,913283,1296,6.0,11.0,"[913283.0,1296.0]","[0.6802692488117471,0.4171322160148976]"
01/01/2022,MEDICAL,Daman,841025,2521,4.0,12.0,"[841025.0,2521.0]","[0.6003243908267761,0.9874301675977654]"
01/01/2022,INVESTMENTS,Ambala,388211,1150,2.0,3.0,"[388211.0,1150.0]","[0.09933971198697125,0.34916201117318435]"
01/01/2022,EDUCATION,Ara,1190426,2080,3.0,9.0,"[1190426.0,2080.0]","[0.9868949203848434,0.7821229050279329]"
01/01/2022,INTERNATIONAL,Trichy,522106,1753,0.0,36.0,"[522106.0,1753.0]","[0.24747855834166804,0.6298882681564246]"
01/01/2022,INVESTMENTS,Akola,861076,1447,2.0,33.0,"[861076.0,1447.0]","[0.6225084306210779,0.48743016759776536]"
01/01/2022,INTERNATIONAL,Konark,316227,1778,0.0,25.0,"[316227.0,1778.0]","[0.019698002318973985,0.6415270018621974]"
01/01/2022,INVESTMENTS,Betul,1130802,2015,2.0,17.0,"[1130802.0,2015.0]","[0.9209280764022268,0.7518621973929236]"
01/01/2022,RETAIL,Ranchi,399336,1630,6.0,16.0,"[399336.0,1630.0]","[0.1116481974845328,0.5726256983240223]"
01/01/2022,PUBLIC,Patiala,958103,533,1.0,10.0,"[958103.0,533.0]","[0.7298572326320354,0.06191806331471136]"
01/01/2022,INVESTMENTS,Ahmedabad,900899,2235,2.0,32.0,"[900899.0,2235.0]","[0.6665678299891131,0.8542830540037244]"
01/01/2022,RETAIL,Trichy,621790,705,6.0,36.0,"[621790.0,705.0]","[0.35776701392269494,0.1419925512104283]"
01/01/2022,EDUCATION,Pune,651546,2419,3.0,14.0,"[651546.0,2419.0]","[0.39068847859374584,0.9399441340782123]"
01/01/2022,INVESTMENTS,Bidar,418787,1350,2.0,37.0,"[418787.0,1350.0]","[0.13316840884750533,0.44227188081936686]"
01/01/2022,MEDICAL,Ranchi,545171,519,4.0,16.0,"[545171.0,519.0]","[0.2729972296226799,0.05540037243947858]"
01/01/2022,EDUCATION,Indore,851047,1152,3.0,40.0,"[851047.0,1152.0]","[0.6114125383914109,0.3500931098696462]"
01/01/2022,RESTRAUNT,Srinagar,299768,1460,5.0,20.0,"[299768.0,1460.0]","[0.0014880820668962038,0.4934823091247672]"
01/01/2022,EDUCATION,Bombay,1058947,1866,3.0,18.0,"[1058947.0,1866.0]","[0.8414290898469654,0.6824953445065177]"
01/01/2022,RESTRAUNT,Lucknow,532836,550,5.0,43.0,"[532836.0,550.0]","[0.25935002345527125,0.06983240223463687]"
01/01/2022,RETAIL,Kolkata,546797,1634,6.0,27.0,"[546797.0,1634.0]","[0.27479620467158195,0.574487895716946]"
01/01/2022,RESTRAUNT,Kanpur,446286,454,5.0,28.0,"[446286.0,454.0]","[0.16359277223603969,0.025139664804469275]"
01/01/2022,RETAIL,Tirumala,835821,1937,6.0,22.0,"[835821.0,1937.0]","[0.5945667855657145,0.7155493482309124]"
01/01/2022,RETAIL,Srinagar,876479,640,6.0,20.0,"[876479.0,640.0]","[0.6395500128340162,0.11173184357541899]"
01/01/2022,RESTRAUNT,Bombay,854720,2115,5.0,18.0,"[854720.0,2115.0]","[0.6154762747718643,0.7984171322160148]"
01/01/2022,INTERNATIONAL,Durg,552250,2470,0.0,4.0,"[552250.0,2470.0]","[0.28082929873164514,0.9636871508379888]"
01/01/2022,EDUCATION,Lunglei,1135012,2082,3.0,8.0,"[1135012.0,2082.0]","[0.9255859392287198,0.7830540037243948]"
01/01/2022,EDUCATION,Vellore,514241,2177,3.0,23.0,"[514241.0,2177.0]","[0.23877687398766162,0.8272811918063314]"
01/01/2022,PUBLIC,Ambala,504341,1687,1.0,3.0,"[504341.0,1687.0]","[0.22782370487073048,0.5991620111731844]"
01/01/2022,EDUCATION,Hyderabad,926642,757,3.0,34.0,"[926642.0,757.0]","[0.6950493888352909,0.16620111731843576]"
01/01/2022,PUBLIC,Goa,1022559,1132,1.0,6.0,"[1022559.0,1132.0]","[0.8011701082482895,0.3407821229050279]"
01/01/2022,PUBLIC,Bidar,584793,686,1.0,37.0,"[584793.0,686.0]","[0.31683424646621994,0.13314711359404097]"
01/01/2022,INTERNATIONAL,Madurai,658117,1955,0.0,44.0,"[658117.0,1955.0]","[0.39795850629751905,0.7239292364990689]"
01/01/2022,PUBLIC,Kanpur,903174,2533,1.0,28.0,"[903174.0,2533.0]","[0.6690848461245695,0.9930167597765363]"
01/01/2022,RETAIL,Amritsar,955566,1572,6.0,19.0,"[955566.0,1572.0]","[0.7270503447482319,0.5456238361266295]"
01/01/2022,INTERNATIONAL,Ranchi,1121965,1344,0.0,16.0,"[1121965.0,1344.0]","[0.9111509899894672,0.43947858472998136]"
01/01/2022,PUBLIC,Daman,1144547,2072,1.0,12.0,"[1144547.0,2072.0]","[0.936135279383259,0.7783985102420856]"
01/01/2022,EDUCATION,Amritsar,339646,2033,3.0,19.0,"[339646.0,2033.0]","[0.04560833237447004,0.7602420856610801]"
01/01/2022,EDUCATION,Hyderabad,366576,1727,3.0,34.0,"[366576.0,1727.0]","[0.07540316513396057,0.6177839851024208]"
01/01/2022,PUBLIC,Bikaner,662063,2162,1.0,41.0,"[662063.0,2162.0]","[0.40232428461422715,0.8202979515828678]"
01/01/2022,PUBLIC,Bidar,906414,2547,1.0,37.0,"[906414.0,2547.0]","[0.6726695196537471,0.999534450651769]"
01/01/2022,RETAIL,Durg,714630,1701,6.0,4.0,"[714630.0,1701.0]","[0.46048339986369385,0.6056797020484171]"
01/01/2022,INVESTMENTS,Kochin,561069,2521,2.0,30.0,"[561069.0,2521.0]","[0.2905864702914649,0.9874301675977654]"
01/01/2022,PUBLIC,Pune,1014565,2314,1.0,14.0,"[1014565.0,2314.0]","[0.7923257007815473,0.8910614525139665]"
01/01/2022,INTERNATIONAL,Ajmer,456820,638,0.0,5.0,"[456820.0,638.0]","[0.175247386728742,0.11080074487895716]"
01/01/2022,RETAIL,Kanpur,1077425,2302,6.0,28.0,"[1077425.0,2302.0]","[0.8618727927704658,0.8854748603351955]"
01/01/2022,EDUCATION,Ara,560935,1220,3.0,9.0,"[560935.0,1220.0]","[0.29043821527513475,0.3817504655493482]"
01/01/2022,MEDICAL,Betul,957569,1366,4.0,17.0,"[957569.0,1366.0]","[0.7292664253281524,0.44972067039106145]"
01/01/2022,RETAIL,Daman,374143,1483,6.0,12.0,"[374143.0,1483.0]","[0.08377514803374018,0.5041899441340782]"
01/01/2022,EDUCATION,Doda,931420,1536,3.0,11.0,"[931420.0,1536.0]","[0.7003356759101087,0.5288640595903166]"
01/01/2022,INTERNATIONAL,Kolkata,812575,1576,0.0,27.0,"[812575.0,1576.0]","[0.568847859374585,0.547486033519553]"
01/01/2022,EDUCATION,Lucknow,875990,570,3.0,43.0,"[875990.0,570.0]","[0.639008992662483,0.07914338919925512]"
01/01/2022,RETAIL,Lucknow,982594,1303,6.0,43.0,"[982594.0,1303.0]","[0.7569536028181729,0.420391061452514]"
01/01/2022,PUBLIC,Srinagar,1156449,1027,1.0,20.0,"[1156449.0,1027.0]","[0.9493034226993918,0.2918994413407821]"
01/01/2022,RESTRAUNT,Patiala,994607,1179,5.0,10.0,"[994607.0,1179.0]","[0.7702445543941017,0.36266294227188084]"
01/01/2022,EDUCATION,Hyderabad,892042,658,3.0,34.0,"[892042.0,658.0]","[0.6567686159619759,0.12011173184357542]"
01/01/2022,RESTRAUNT,Ranchi,566970,1837,5.0,16.0,"[566970.0,1837.0]","[0.2971152229135872,0.6689944134078212]"
01/01/2022,EDUCATION,Betul,325462,2405,3.0,17.0,"[325462.0,2405.0]","[0.029915428257848663,0.9334264432029795]"
01/01/2022,EDUCATION,Kota,362553,551,3.0,31.0,"[362553.0,551.0]","[0.07095219550189855,0.07029795158286778]"
01/01/2022,INVESTMENTS,Patiala,920300,1133,2.0,10.0,"[920300.0,1133.0]","[0.6880327223161417,0.34124767225325886]"
01/01/2022,EDUCATION,Bikaner,886262,2332,3.0,41.0,"[886262.0,2332.0]","[0.6503737354068383,0.8994413407821229]"
01/01/2022,RESTRAUNT,Durg,1115719,2062,5.0,4.0,"[1115719.0,2062.0]","[0.9042405360193306,0.7737430167597765]"
01/01/2022,RETAIL,Surat,624262,639,6.0,38.0,"[624262.0,639.0]","[0.3605019870597711,0.11126629422718808]"
01/01/2022,RETAIL,Goa,822331,420,6.0,6.0,"[822331.0,420.0]","[0.5796417096679972,0.00931098696461825]"
01/01/2022,RESTRAUNT,Goa,324382,873,5.0,6.0,"[324382.0,873.0]","[0.028720537081456173,0.2202048417132216]"
01/01/2022,RETAIL,Mathura,1147042,2002,6.0,42.0,"[1147042.0,2002.0]","[0.9388956992768696,0.7458100558659218]"
01/01/2022,RETAIL,Kolkata,725687,892,6.0,27.0,"[725687.0,892.0]","[0.4727166514723714,0.22905027932960895]"
01/01/2022,MEDICAL,Patiala,743705,1417,4.0,10.0,"[743705.0,1417.0]","[0.49265141926518613,0.473463687150838]"
01/01/2022,INVESTMENTS,Banglore,393022,2450,2.0,15.0,"[393022.0,2450.0]","[0.10466250962551225,0.9543761638733705]"
01/01/2022,EDUCATION,Ara,1080755,412,3.0,9.0,"[1080755.0,412.0]","[0.8655570405643426,0.00558659217877095]"
01/01/2022,INVESTMENTS,Kannur,361770,2118,2.0,29.0,"[361770.0,2118.0]","[0.070085899399014,0.7998137802607076]"
01/01/2022,EDUCATION,Srinagar,1119374,2103,3.0,20.0,"[1119374.0,2103.0]","[0.9082843575468441,0.792830540037244]"
01/01/2022,PUBLIC,Kota,1049127,863,1.0,31.0,"[1049127.0,863.0]","[0.8305644311875447,0.21554934823091249]"
01/01/2022,MEDICAL,Kanpur,808770,2341,4.0,28.0,"[808770.0,2341.0]","[0.5646380807392393,0.9036312849162011]"
01/01/2022,MEDICAL,Ranchi,1151839,1040,4.0,16.0,"[1151839.0,1040.0]","[0.9442030075853461,0.297951582867784]"
01/01/2022,RESTRAUNT,Madurai,1122599,1539,5.0,44.0,"[1122599.0,1539.0]","[0.9118524353652383,0.5302607076350093]"
01/01/2022,RETAIL,Tirumala,1097787,1138,6.0,22.0,"[1097787.0,1138.0]","[0.8844009169683398,0.3435754189944134]"
01/01/2022,EDUCATION,Kochin,479489,1761,3.0,30.0,"[479489.0,1761.0]","[0.20032793124507658,0.6336126629422719]"
01/01/2022,RETAIL,Durg,960074,1176,6.0,4.0,"[960074.0,1176.0]","[0.7320379090289517,0.3612662942271881]"
01/01/2022,INTERNATIONAL,Doda,905355,1625,0.0,11.0,"[905355.0,1625.0]","[0.6714978624724511,0.5702979515828678]"
01/01/2022,INTERNATIONAL,Ahmedabad,363105,1196,0.0,32.0,"[363105.0,1196.0]","[0.07156291765872137,0.37057728119180633]"
01/01/2022,RESTRAUNT,Bikaner,522053,1830,5.0,41.0,"[522053.0,1830.0]","[0.24741992016356731,0.6657355679702048]"
01/01/2022,RESTRAUNT,Kota,1034473,2219,5.0,31.0,"[1034473.0,2219.0]","[0.8143515281330489,0.8468342644320298]"
01/01/2022,INVESTMENTS,Akola,959282,417,2.0,33.0,"[959282.0,417.0]","[0.7311616554995972,0.007914338919925512]"
01/01/2022,INVESTMENTS,Pune,773068,2251,2.0,14.0,"[773068.0,2251.0]","[0.5251380763137165,0.861731843575419]"
01/01/2022,INVESTMENTS,Kota,1047403,2106,2.0,31.0,"[1047403.0,2106.0]","[0.8286570308281923,0.7942271880819367]"
01/01/2022,PUBLIC,Trichy,609490,2074,1.0,36.0,"[609490.0,2074.0]","[0.34415853108044714,0.7793296089385475]"
01/01/2022,MEDICAL,Doda,1152104,2220,4.0,11.0,"[1152104.0,2220.0]","[0.9444961984758499,0.8472998137802606]"
01/01/2022,INVESTMENTS,Surat,394802,899,2.0,38.0,"[394802.0,899.0]","[0.1066318673051221,0.23230912476722532]"
01/01/2022,EDUCATION,Kochin,622005,1236,3.0,30.0,"[622005.0,1236.0]","[0.3580048857772546,0.3891992551210428]"
01/01/2022,MEDICAL,Betul,1152945,1600,4.0,17.0,"[1152945.0,1600.0]","[0.9454266646604296,0.5586592178770949]"
01/01/2022,EDUCATION,Bombay,516369,2414,3.0,18.0,"[516369.0,2414.0]","[0.24113125215744238,0.9376163873370578]"
01/01/2022,INTERNATIONAL,Tirumala,517529,1873,0.0,22.0,"[517529.0,1873.0]","[0.24241465379134544,0.6857541899441341]"
01/01/2022,MEDICAL,Betul,633583,728,4.0,17.0,"[633583.0,728.0]","[0.3708145617404696,0.1527001862197393]"
01/01/2022,MEDICAL,Goa,568062,413,4.0,6.0,"[568062.0,413.0]","[0.2983233906586063,0.006052141527001862]"
01/01/2022,PUBLIC,Bhuj,347005,958,1.0,1.0,"[347005.0,958.0]","[0.053750188084722206,0.25977653631284914]"
01/01/2022,RETAIL,Surat,573312,1188,6.0,38.0,"[573312.0,1188.0]","[0.30413188943273645,0.36685288640595903]"
01/01/2022,PUBLIC,Vellore,1200716,2190,1.0,23.0,"[1200716.0,2190.0]","[0.9982795779821385,0.8333333333333334]"
01/01/2022,INTERNATIONAL,Kota,921079,1531,0.0,31.0,"[921079.0,1531.0]","[0.6888945928961506,0.526536312849162]"
01/01/2022,EDUCATION,Jaipur,307384,490,3.0,39.0,"[307384.0,490.0]","[0.009914277621901026,0.04189944134078212]"
01/01/2022,INTERNATIONAL,Indore,865301,462,0.0,40.0,"[865301.0,462.0]","[0.6271828891583541,0.028864059590316574]"
01/01/2022,MEDICAL,Amritsar,1166193,2253,4.0,19.0,"[1166193.0,2253.0]","[0.9600839964241774,0.8626629422718808]"
01/01/2022,RESTRAUNT,Bikaner,625844,873,5.0,41.0,"[625844.0,873.0]","[0.3622522813570423,0.2202048417132216]"
01/01/2022,PUBLIC,Ambala,1117723,1950,1.0,3.0,"[1117723.0,1950.0]","[0.9064577229799701,0.7216014897579144]"
01/01/2022,MEDICAL,Surat,910637,776,4.0,38.0,"[910637.0,776.0]","[0.6773417654295855,0.1750465549348231]"
01/01/2022,RESTRAUNT,Vellore,637085,1358,5.0,23.0,"[637085.0,1358.0]","[0.3746891070179941,0.44599627560521415]"
01/01/2022,MEDICAL,Ara,803397,1683,4.0,9.0,"[803397.0,1683.0]","[0.5586934971366867,0.5972998137802608]"
01/01/2022,INTERNATIONAL,Mathura,1134096,943,0.0,42.0,"[1134096.0,943.0]","[0.9245724944902239,0.2527932960893855]"
01/01/2022,MEDICAL,Goa,640088,502,4.0,6.0,"[640088.0,502.0]","[0.3780115683167966,0.04748603351955307]"
01/01/2022,RETAIL,Tirumala,308165,1579,6.0,22.0,"[308165.0,1579.0]","[0.010778360963347819,0.5488826815642458]"
01/01/2022,INVESTMENTS,Ajmer,969028,640,2.0,5.0,"[969028.0,640.0]","[0.7419444419858205,0.11173184357541899]"
01/01/2022,INTERNATIONAL,Trichy,683877,1466,0.0,36.0,"[683877.0,1466.0]","[0.4264588736159177,0.4962756052141527]"
01/01/2022,INVESTMENTS,Bhind,939979,1405,2.0,13.0,"[939979.0,1405.0]","[0.7098051884830192,0.46787709497206703]"
01/01/2022,INTERNATIONAL,Buxar,1185993,2036,0.0,45.0,"[1185993.0,2036.0]","[0.9819903346580398,0.7616387337057728]"
01/01/2022,RESTRAUNT,Amritsar,754855,1264,5.0,19.0,"[754855.0,1264.0]","[0.5049875642807198,0.4022346368715084]"
01/01/2022,MEDICAL,Ahmedabad,651360,1741,4.0,32.0,"[651360.0,1741.0]","[0.3904826917800338,0.6243016759776536]"
01/01/2022,EDUCATION,Kannur,418626,1600,3.0,29.0,"[418626.0,1600.0]","[0.13299028155176534,0.5586592178770949]"
01/01/2022,PUBLIC,Delhi,474238,2133,1.0,35.0,"[474238.0,2133.0]","[0.19451832609022754,0.8067970204841713]"
01/01/2022,INTERNATIONAL,Delhi,613828,2434,0.0,35.0,"[613828.0,2434.0]","[0.348958010638957,0.946927374301676]"
01/01/2022,INVESTMENTS,Jaipur,737766,452,2.0,39.0,"[737766.0,452.0]","[0.4860806241757463,0.024208566108007448]"
01/01/2022,INTERNATIONAL,Vellore,1032280,1380,0.0,23.0,"[1032280.0,1380.0]","[0.8119252352165408,0.45623836126629425]"
01/01/2022,INVESTMENTS,Madurai,1124432,2009,2.0,44.0,"[1124432.0,2009.0]","[0.9138804312229489,0.7490689013035382]"
01/01/2022,MEDICAL,Goa,1177109,694,4.0,6.0,"[1177109.0,694.0]","[0.9721612483514926,0.13687150837988826]"
01/01/2022,MEDICAL,Ludhiana,519184,1552,4.0,24.0,"[519184.0,1552.0]","[0.24424571388109503,0.5363128491620112]"
01/01/2022,INVESTMENTS,Goa,860599,1351,2.0,6.0,"[860599.0,1351.0]","[0.6219806870181711,0.44273743016759776]"
01/01/2022,INTERNATIONAL,Jaipur,600366,2548,0.0,39.0,"[600366.0,2548.0]","[0.3340639134013684,1.0]"
01/01/2022,INTERNATIONAL,Ahmedabad,725514,2003,0.0,32.0,"[725514.0,2003.0]","[0.47252524760800485,0.7462756052141527]"
01/01/2022,MEDICAL,Kannur,647386,1826,4.0,29.0,"[647386.0,1826.0]","[0.386085934803197,0.6638733705772812]"
01/01/2022,RESTRAUNT,Madurai,464624,1965,5.0,44.0,"[464624.0,1965.0]","[0.1838815818588966,0.728584729981378]"
01/01/2022,MEDICAL,Goa,822183,1561,4.0,6.0,"[822183.0,1561.0]","[0.5794779653216027,0.5405027932960894]"
01/01/2022,INVESTMENTS,Indore,650438,2385,2.0,40.0,"[650438.0,2385.0]","[0.38946260875722466,0.9241154562383612]"
01/01/2022,INTERNATIONAL,Ludhiana,811507,1233,0.0,24.0,"[811507.0,1233.0]","[0.5676662447668192,0.3878026070763501]"
01/01/2022,RESTRAUNT,Kolkata,439680,2471,5.0,27.0,"[439680.0,2471.0]","[0.1562840212071056,0.9641527001862197]"
01/01/2022,RETAIL,Ajmer,838231,1455,6.0,5.0,"[838231.0,1455.0]","[0.59723316309822,0.49115456238361266]"
01/01/2022,EDUCATION,Akola,1006521,1470,3.0,33.0,"[1006521.0,1470.0]","[0.783425974278861,0.49813780260707635]"
01/01/2022,RESTRAUNT,Bhind,608433,1322,5.0,13.0,"[608433.0,1322.0]","[0.3429890866605889,0.4292364990689013]"
01/01/2022,PUBLIC,Amritsar,1148894,1250,1.0,19.0,"[1148894.0,1250.0]","[0.9409447163682388,0.3957169459962756]"
01/01/2022,INVESTMENTS,Trichy,559347,567,2.0,36.0,"[559347.0,567.0]","[0.2886812826935502,0.07774674115456238]"
01/01/2022,MEDICAL,Bokaro,532750,1832,4.0,0.0,"[532750.0,1832.0]","[0.2592548747134474,0.6666666666666666]"
01/01/2022,RESTRAUNT,Hyderabad,423067,2489,5.0,34.0,"[423067.0,2489.0]","[0.13790371832432002,0.9725325884543762]"
01/01/2022,MEDICAL,Bhind,995800,977,4.0,13.0,"[995800.0,977.0]","[0.7715644665917277,0.2686219739292365]"
01/01/2022,PUBLIC,Banglore,323118,952,1.0,15.0,"[323118.0,952.0]","[0.027322071852789405,0.2569832402234637]"
01/01/2022,RETAIL,Daman,1155720,1302,6.0,12.0,"[1155720.0,1302.0]","[0.948496871155327,0.419925512104283]"
01/01/2022,INVESTMENTS,Daman,654000,489,2.0,12.0,"[654000.0,489.0]","[0.3934035368778821,0.04143389199255121]"
01/01/2022,RETAIL,Buxar,1087240,1252,6.0,45.0,"[1087240.0,1252.0]","[0.872731919526292,0.3966480446927374]"
01/01/2022,INTERNATIONAL,Trichy,835618,2115,0.0,36.0,"[835618.0,2115.0]","[0.5943421902797815,0.7984171322160148]"
01/01/2022,EDUCATION,Bokaro,517623,1202,3.0,0.0,"[517623.0,1202.0]","[0.24251865357892033,0.37337057728119183]"
01/01/2022,PUBLIC,Kolkata,599068,549,1.0,27.0,"[599068.0,549.0]","[0.3326278312282596,0.06936685288640596]"
01/01/2022,PUBLIC,Bhuj,1182959,1578,1.0,1.0,"[1182959.0,1578.0]","[0.978633575556952,0.5484171322160148]"
01/01/2022,INTERNATIONAL,Indore,1047374,2297,0.0,40.0,"[1047374.0,2297.0]","[0.8286249457873447,0.883147113594041]"
01/01/2022,INTERNATIONAL,Durg,1121089,2275,0.0,4.0,"[1121089.0,2275.0]","[0.9101818004797266,0.8729050279329609]"
01/01/2022,RESTRAUNT,Indore,336427,2028,5.0,40.0,"[336427.0,2028.0]","[0.04204689284038909,0.7579143389199255]"
01/01/2022,RETAIL,Konark,446967,1469,6.0,25.0,"[446967.0,1469.0]","[0.16434621750559827,0.49767225325884545]"
01/01/2022,INVESTMENTS,Bhind,377287,1951,2.0,13.0,"[377287.0,1951.0]","[0.08725360901390498,0.7220670391061452]"
